job_id,title,company,location,work_mode,duration,stipend,skills,education,description,responsibilities,eligibility,application_url
JOB001,AI Engineering Intern,Brainwave AI,Remote,Remote,3 Months,"₹20,000 / month","Python, PyTorch, TensorFlow, LangChain, LLMs",B.Tech CSE/AI/ML or M.Tech AI,"Work as a AI Engineering Intern at Brainwave AI. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, TensorFlow.",https://internships.example.com/apply/job001
JOB002,Applied AI Intern,NeuralTech Labs,Pune,Hybrid,6 Months,"₹30,000 / month","Python, PyTorch, LangChain, LLMs, RAG",B.Tech CSE/AI/ML or M.Tech AI,"Work as a Applied AI Intern at NeuralTech Labs. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, LangChain.",https://internships.example.com/apply/job002
JOB003,Generative AI Intern,DeepVision Systems,Noida,On-site,3 Months,"₹40,000 / month","Python, PyTorch, LLMs, RAG, Transformers",B.Tech CSE/AI/ML or M.Tech AI,"Work as a Generative AI Intern at DeepVision Systems. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, LLMs.",https://internships.example.com/apply/job003
JOB004,LLM Research Intern,CognitiveCloud,Chennai,On-site,6 Months,"₹20,000 / month","Python, PyTorch, RAG, Transformers, Prompt Engineering",B.Tech CSE/AI/ML or M.Tech AI,"Work as a LLM Research Intern at CognitiveCloud. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, RAG.",https://internships.example.com/apply/job004
JOB005,AI Solutions Intern,OmniAI Labs,Remote,Remote,3 Months,"₹30,000 / month","Python, PyTorch, Transformers, Prompt Engineering, Git",B.Tech CSE/AI/ML or M.Tech AI,"Work as a AI Solutions Intern at OmniAI Labs. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, Transformers.",https://internships.example.com/apply/job005
JOB006,AI Engineering Intern,Brainwave AI,Pune,Hybrid,6 Months,"₹40,000 / month","Python, PyTorch, Prompt Engineering, Git",B.Tech CSE/AI/ML or M.Tech AI,"Work as a AI Engineering Intern at Brainwave AI. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, Prompt Engineering.",https://internships.example.com/apply/job006
JOB007,Applied AI Intern,NeuralTech Labs,Noida,On-site,3 Months,"₹20,000 / month","Python, PyTorch, Git",B.Tech CSE/AI/ML or M.Tech AI,"Work as a Applied AI Intern at NeuralTech Labs. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, Git.",https://internships.example.com/apply/job007
JOB008,Generative AI Intern,DeepVision Systems,Chennai,On-site,6 Months,"₹30,000 / month","Python, PyTorch, TensorFlow",B.Tech CSE/AI/ML or M.Tech AI,"Work as a Generative AI Intern at DeepVision Systems. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, TensorFlow.",https://internships.example.com/apply/job008
JOB009,LLM Research Intern,CognitiveCloud,Remote,Remote,3 Months,"₹40,000 / month","Python, PyTorch, TensorFlow, LangChain",B.Tech CSE/AI/ML or M.Tech AI,"Work as a LLM Research Intern at CognitiveCloud. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, TensorFlow.",https://internships.example.com/apply/job009
JOB010,AI Solutions Intern,OmniAI Labs,Pune,Hybrid,6 Months,"₹20,000 / month","Python, PyTorch, TensorFlow, LangChain, LLMs",B.Tech CSE/AI/ML or M.Tech AI,"Work as a AI Solutions Intern at OmniAI Labs. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, TensorFlow.",https://internships.example.com/apply/job010
JOB011,AI Engineering Intern,Brainwave AI,Noida,On-site,3 Months,"₹30,000 / month","Python, PyTorch, LangChain, LLMs, RAG",B.Tech CSE/AI/ML or M.Tech AI,"Work as a AI Engineering Intern at Brainwave AI. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, LangChain.",https://internships.example.com/apply/job011
JOB012,Applied AI Intern,NeuralTech Labs,Chennai,On-site,6 Months,"₹40,000 / month","Python, PyTorch, LLMs, RAG, Transformers",B.Tech CSE/AI/ML or M.Tech AI,"Work as a Applied AI Intern at NeuralTech Labs. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, LLMs.",https://internships.example.com/apply/job012
JOB013,Generative AI Intern,DeepVision Systems,Remote,Remote,3 Months,"₹20,000 / month","Python, PyTorch, RAG, Transformers, Prompt Engineering",B.Tech CSE/AI/ML or M.Tech AI,"Work as a Generative AI Intern at DeepVision Systems. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, RAG.",https://internships.example.com/apply/job013
